1,2,3,4,5
,,Biometry,,
,,Biostatistics,,
,,"Data Analysis, Statistics and Probability",,
,,Other Statistics,,
,,Probability,,
,,Statistical Methodology,,
,,Statistical Theory,,
,Water Research,"Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management",,
,Agricultural and Resource Economics,Broadcast/Video Studies,,
,Communication Sciences,Communication Neuroscience,,
,,Communication Technology and New Media,,
,,Critical and Cultural Studies,,
,,"Gender, Race, Sexuality, and Ethnicity in Communication",,
,,Health Communication,,
,,International and Intercultural Communication,,
,,Interpersonal/Small Group Communication,,
,,Journalism Studies,,
,,Mass Communication,,
,,Organizational Communication,,
,,Public Relations/Advertising,,
,,Social Influence and Political Communication,,
,,Speech and Rhetorical Studies,,
,Economics,Behavioral Economics,,
,,Business Administration,,
,,Econometrics,,
,,Economic History,,
,,"Economic Policy, Applied Economics",,
,,Economic Theory,,
,,Growth and Development,,
,,International Economics,,
,,Industrial Organization,,
,,Labor Economics,,
,,Macroeconomics,,
,,Public Economics,,
,,Quantitative Finance,,
,Geography,Geographic Information Sciences,,
,,Human Geography,,
,,Nature and Society Relations,,
,,Physical and Environmental Geography,,
,Jurisprudence,Criminal Law,,
,,Criminology,,
,,Principles of Law and Jurisprudence,,
,,Private Law,,
,,Public Law,,
,Linguistics,Anthropological Linguistics/Sociolinguistics,,
,,Applied Linguistics,,
,,Comparative and Historical Linguistics,,
,,Computational Linguistics,,
,,Discourse/Text Linguistics,,
,,First/Second Language Acquisition,,
,,Individual Linguistics,,
,,Language Description/Documentation,,
,,Morphology,,
,,Phonetics/Phonology,,
,,Psycholinguistics/Neurolinguistics,,
,,Semantics/Pragmatics,,
,,Syntax,,
,,Typological Linguistics and Linguistic Diversity,,
,Political Science,American Politics,,
,,Comparative Politics,,
,,International Relations,,
,,Models and Methods,,
,,Political Theory,,
,Psychology,Biological Psychology,,
,,Cognition and Perception,,
,,Cognitive Psychology,,
,,Community Psychology,,
,,Developmental Psychology,,
,,Developmental and Educational Psychology,,
,,"Differential, Clinical and Medical Psychology, Methodology",,
,,"General, Cognitive and Mathematical Psychology",,
,,Health Psychology,,
,,Industrial and Organizational Psychology,,
,,Personality and Social Contexts,,
,,Social Psychology,,
,"Public Affairs, Public Policy and Public Administration",Public Administration,,
,,Public Affairs,,
,,Public Policy,,
,,Urban Studies,,
,Science and Technology Studies,Empirical Social Research,,
,Social Sciences,Sociological Theory,,
,Social and Cultural Anthropology and Ethnology,African Studies,,
,,American Studies,,
,,Archaeological,,
,,Asian Studies,,
,,Biological and Physical,,
,,"Islamic Studies, Arabian Studies, Semitic Studies",,
,,Linguistic Anthrolpology,,
,,Oceania Studies,,
,,Religious Studies and Jewish Studies,,
,Sociology,Social and Cultural,,
,,"Demography, Population, and Ecology",,
,,"Family, Life Course, and Society",,
,,Gender and Sexuality,,
,,Inequality and Stratification,,
,,Medicine and Health,,
,,"Methodologies : Quantitative, Qualitative, Comparative, and Historical",,
,,Physics and Society,,
,,Place and Environment,,
,,Politics and Social Change,,
,,Race and Ethnicity,,
,,Regional Sociology,,
,,Rural sociology,,
,,"Social Control, Law, Crime, and Deviance",,
,,Social Psychology and Interaction,,
,,Sociology of Culture,,
,,"Theory, Knowledge and Science",,
,Urban Studies and Planning,"Work, Economy and Organizations",,
,,Pathology,,
